Model,Design_Cell,Method_Variant,Metric,Datasets_Evaluated,Mean_mu,LCL_mu_minus_2sig,UCL_mu_plus_2sig,Pct_In_Limits,Pct_Out_Limits,"Control_Limits_[LCL, UCL]"
ModelA_Perfect,"p=6, N=30",PAF,Hoffmann Complexity,164,1.1964,0.9475,1.4452,96.34,3.66,"[0.9475, 1.4452]"
ModelA_Perfect,"p=6, N=30",PAF,Kaiser IFS,164,0.8344,0.6413,1.0274,96.34,3.66,"[0.6413, 1.0274]"
ModelA_Perfect,"p=6, N=30",Beta_eta_25,Hoffmann Complexity,164,1.1292,0.8878,1.3705,95.12,4.88,"[0.8878, 1.3705]"
ModelA_Perfect,"p=6, N=30",Beta_eta_25,Kaiser IFS,164,0.8956,0.6926,1.0985,95.12,4.88,"[0.6926, 1.0985]"
ModelA_Perfect,"p=6, N=30",Beta_eta_50,Hoffmann Complexity,164,1.0594,0.8906,1.2282,94.51,5.49,"[0.8906, 1.2282]"
ModelA_Perfect,"p=6, N=30",Beta_eta_50,Kaiser IFS,164,0.9532,0.8225,1.084,96.34,3.66,"[0.8225, 1.0840]"
ModelA_Perfect,"p=6, N=30",Beta_eta_100,Hoffmann Complexity,164,1.0179,0.9319,1.104,92.07,7.93,"[0.9319, 1.1040]"
ModelA_Perfect,"p=6, N=30",Beta_eta_100,Kaiser IFS,164,0.986,0.9189,1.0531,93.29,6.71,"[0.9189, 1.0531]"
ModelA_Perfect,"p=6, N=30",Beta_eta_200,Hoffmann Complexity,164,1.006,0.9504,1.0616,96.95,3.05,"[0.9504, 1.0616]"
ModelA_Perfect,"p=6, N=30",Beta_eta_200,Kaiser IFS,164,0.9947,0.9452,1.0441,96.95,3.05,"[0.9452, 1.0441]"
ModelA_Perfect,"p=6, N=30",Beta_eta_400,Hoffmann Complexity,163,1.0011,0.9777,1.0246,99.39,0.61,"[0.9777, 1.0246]"
ModelA_Perfect,"p=6, N=30",Beta_eta_400,Kaiser IFS,163,0.999,0.979,1.0191,99.39,0.61,"[0.9790, 1.0191]"
ModelA_Perfect,"p=10, N=50",PAF,Hoffmann Complexity,159,1.1902,0.9153,1.4652,91.82,8.18,"[0.9153, 1.4652]"
ModelA_Perfect,"p=10, N=50",PAF,Kaiser IFS,159,0.8581,0.7152,1.001,96.86,3.14,"[0.7152, 1.0010]"
ModelA_Perfect,"p=10, N=50",Beta_eta_25,Hoffmann Complexity,159,1.1857,0.9248,1.4465,96.86,3.14,"[0.9248, 1.4465]"
ModelA_Perfect,"p=10, N=50",Beta_eta_25,Kaiser IFS,159,0.8799,0.7087,1.051,96.23,3.77,"[0.7087, 1.0510]"
ModelA_Perfect,"p=10, N=50",Beta_eta_50,Hoffmann Complexity,159,1.1281,0.8905,1.3657,95.6,4.4,"[0.8905, 1.3657]"
ModelA_Perfect,"p=10, N=50",Beta_eta_50,Kaiser IFS,159,0.9211,0.7803,1.0619,94.34,5.66,"[0.7803, 1.0619]"
ModelA_Perfect,"p=10, N=50",Beta_eta_100,Hoffmann Complexity,159,1.0469,0.9074,1.1864,93.71,6.29,"[0.9074, 1.1864]"
ModelA_Perfect,"p=10, N=50",Beta_eta_100,Kaiser IFS,159,0.9697,0.8814,1.0581,93.08,6.92,"[0.8814, 1.0581]"
ModelA_Perfect,"p=10, N=50",Beta_eta_200,Hoffmann Complexity,159,1.0108,0.9429,1.0786,94.97,5.03,"[0.9429, 1.0786]"
ModelA_Perfect,"p=10, N=50",Beta_eta_200,Kaiser IFS,159,0.9923,0.9391,1.0456,96.86,3.14,"[0.9391, 1.0456]"
ModelA_Perfect,"p=10, N=50",Beta_eta_400,Hoffmann Complexity,159,1.0066,0.9627,1.0505,93.08,6.92,"[0.9627, 1.0505]"
ModelA_Perfect,"p=10, N=50",Beta_eta_400,Kaiser IFS,159,0.9959,0.968,1.0238,95.6,4.4,"[0.9680, 1.0238]"
ModelA_Perfect,"p=15, N=75",PAF,Hoffmann Complexity,135,1.1909,0.9153,1.4665,95.56,4.44,"[0.9153, 1.4665]"
ModelA_Perfect,"p=15, N=75",PAF,Kaiser IFS,135,0.8676,0.7426,0.9926,95.56,4.44,"[0.7426, 0.9926]"
ModelA_Perfect,"p=15, N=75",Beta_eta_25,Hoffmann Complexity,135,1.1239,0.9297,1.3181,96.3,3.7,"[0.9297, 1.3181]"
ModelA_Perfect,"p=15, N=75",Beta_eta_25,Kaiser IFS,135,0.9272,0.7952,1.0593,95.56,4.44,"[0.7952, 1.0593]"
ModelA_Perfect,"p=15, N=75",Beta_eta_50,Hoffmann Complexity,135,1.1229,0.9306,1.3151,96.3,3.7,"[0.9306, 1.3151]"
ModelA_Perfect,"p=15, N=75",Beta_eta_50,Kaiser IFS,135,0.928,0.7975,1.0586,95.56,4.44,"[0.7975, 1.0586]"
ModelA_Perfect,"p=15, N=75",Beta_eta_100,Hoffmann Complexity,135,1.1108,0.9298,1.2918,96.3,3.7,"[0.9298, 1.2918]"
ModelA_Perfect,"p=15, N=75",Beta_eta_100,Kaiser IFS,135,0.9355,0.8159,1.0552,94.07,5.93,"[0.8159, 1.0552]"
ModelA_Perfect,"p=15, N=75",Beta_eta_200,Hoffmann Complexity,135,1.0589,0.9354,1.1824,96.3,3.7,"[0.9354, 1.1824]"
ModelA_Perfect,"p=15, N=75",Beta_eta_200,Kaiser IFS,135,0.9635,0.8671,1.0599,93.33,6.67,"[0.8671, 1.0599]"
